Tipo                            ,R²                  ,MAE                 ,MAE Ponderado      ,RMSE               ,RMSE Ponderado     ,Early Stopping ,Quantidade de Épocas
CNN-2                           ,0.5169893932940564  ,185.37230198552462  ,256.02900318041003 ,275.3306937619492  ,301.11012276043766 ,Não            ,                  50
CNN-50A                         ,0.8841814231922239  , 92.9997965771219   ,166.6355493761582  ,134.8234410151476  ,176.70865478651444 ,Não            ,                  50
CNN-50B                         ,0.9542153104749549  , 54.56661686007982  , 94.32442625845597 , 84.76887742598656 ,111.81857200109036 ,Não            ,                  50
CNN-50Batch25                   ,0.9538994450317819  , 54.24232255232689  , 74.19814799190658 , 85.06078217886359 , 96.9197578435146  ,Não            ,                  50
CNN-Maior-50Batch25             ,0.9529951359577031  , 55.74945389842551  , 86.60191907571709 , 85.89100721935453 ,105.53770739105138 ,Não            ,                  50
CNN-Maior2-50Batch25            ,-0.9826293860627597 ,393.8097575076385   ,394.3599939957363  ,557.8238318423452  ,557.8277176696655  ,Não            ,                  50
CNN-Maior2-50Batch25            ,0.9541901606836795  , 56.09910743542067  , 90.70683082617666 , 84.79215624372576 ,106.87218298663969 ,Não            ,                  50
CNN-Maior2-50Batch25            ,0.9548317694360451  , 54.14578161905232  , 77.89539741078558 , 84.19626649035504 , 99.31041453555993 ,Sim            ,                  47
CNN-Dropout-50Batch25           ,0.908467439482237   , 78.8495299060503   ,101.24472868469815 ,119.85719255693292 ,130.22501485705328 ,Sim            ,                  26
CNN-Dropout2-50Batch25          ,0.9456936108917621  , 60.40762160244468  , 95.44581466490399 , 92.32126756877955 ,115.32711321230651 ,Sim            ,                  40
CNN-Dropout3-50Batch25          ,0.9484988999466851  , 58.548127722685614 , 90.53406806995994 , 89.90514545020449 ,110.91467177904921 ,Não            ,                  50
CNN-Dropout4-50Batch25          ,0.9365054518833869  , 64.60033443263248  , 98.85324479677038 , 99.82619403340986 ,122.79762189463783 ,Sim            ,                  46
CNN-Dropout5-50Batch25          ,0.949524925254662   , 59.14052929430859  , 95.33637700364574 , 89.00507706432059 ,112.61930783139218 ,Não            ,                  50
CNN-Dropout6-50Batch25          ,0.9372106770838565  , 64.93504977062584  , 85.19487175297682 , 99.27026818144898 ,109.35483506924761 ,Sim            ,                  37
CNN-Dropout7-50Batch25          ,0.9412606413935627  , 63.713523525940744 ,105.58497840152452 , 96.01539992719297 ,122.64800058530531 ,Sim            ,                  44
CNN-Dropout8-50Batch25          ,0.9360645690726682  , 65.3761182933432   , 99.86993668717705 ,100.17217269006098 ,124.00252911052668 ,Não            ,                  50
CNN-Dropout8-100Batch25         ,0.9171474034551135  , 74.13789579715554  ,109.73516153088968 ,114.03268674163067 ,138.04301427309153 ,Sim            ,                  29
CNN-SemDropout-swish-100Batch25 ,0.9442249978926486  , 62.36548166880618  ,102.13180546029481 , 93.56126667888498 ,121.62430870449361 ,Sim            ,                  40
CNN-SemDropout-swish-50Batch25,0.9316280170525895,65.54313590788459,87.40188375163133,103.58941560133886,120.10019673826525,Não,50
CNN-SemDropout3-swish-50Batch25,0.9059403817058792,74.64281540631703,120.55361977240041,121.50045412796923,152.98005766120122,Não,50
CNN-SemDropoutFinal-Mista-50Batch25,0.9547900347753178,54.70419398420736,86.3279740154334,84.23515545336224,104.63622209275104,Não,50
CNN-Swish-Relu-50Batch25,0.9347415108152085,64.17432213988948,110.13615916290873,101.20332998963097,133.0952700224847,Não,50
CNN-Swish-Relu-2-50Batch25,0.9517221866484143,56.15288495335481,74.76697534145426,87.04625494164308,97.1881124840822,Não,50
CNN-Swish-Relu-3-50Batch25,0.9535852486912548,55.05617004101009,93.61920629076882,85.35015400866953,110.69640194522312,Não,50
CNN-Relu-Swish-50Batch25,0.9602674313121623,50.7381321047209,75.30063821958458,78.96772320263406,96.8820521874611,Não,50
CNN-Swish-Swish-50Batch25,0.9475947336568445,59.665382550973916,92.01269314300005,90.69091037784224,109.62008001660904,Não,50
CNN-Relu-Swish-Swish-50Batch25,0.9546529107410919,51.314082916595844,73.77572243273667,84.36280340782228,100.26820420878799,Não,50
