Learning Rate,Epoch,Loss,Validation Loss
5e-05,15,79064.4296875,75396.9921875
5e-05,16,77397.3515625,73865.71875
5e-05,17,75218.0234375,70900.9921875
5e-05,18,73602.4609375,69185.578125
5e-05,19,71923.4609375,69068.984375
5e-05,20,71411.640625,66791.34375
5e-05,21,69681.59375,65498.94140625
5e-05,22,68272.578125,64529.98046875
5e-05,23,67082.875,64096.44921875
5e-05,24,65922.3203125,63137.84765625
5e-05,25,65239.796875,62684.9609375
5e-05,26,64505.140625,61321.1484375
5e-05,27,63851.734375,60641.890625
5e-05,28,62454.57421875,60485.5
5e-05,29,61854.77734375,59527.52734375
5e-05,30,61387.27734375,60340.84375
5e-05,31,60260.48828125,62003.5234375
5e-05,32,59922.4609375,58543.8671875
5e-05,33,58902.68359375,57370.3671875
5e-05,34,58559.15625,57805.51171875
5e-05,35,58149.75,56341.38671875
5e-05,36,57174.19140625,59185.28125
5e-05,37,56556.8671875,59505.25
5e-05,38,56434.76953125,56504.609375
5e-05,39,56118.91015625,56309.89453125
5e-05,40,55297.8828125,55182.27734375
5e-05,41,54492.765625,54014.16015625
5e-05,42,54358.92578125,54317.92578125
5e-05,43,53973.2734375,53379.3515625
5e-05,44,53553.60546875,53084.41015625
5e-05,45,52702.75,52960.35546875
5e-05,46,52684.31640625,52590.8828125
5e-05,47,51777.24609375,53017.9921875
5e-05,48,51899.5546875,51857.19140625
5e-05,49,52251.93359375,54379.9140625
5e-05,50,51011.41015625,50823.390625
5e-05,51,50378.80859375,51030.5390625
5e-05,52,49723.5078125,54964.34765625
5e-05,53,49586.4765625,53975.95703125
5e-05,54,49609.453125,50751.51953125
5e-05,55,48079.87890625,50077.1796875
5e-05,56,48061.765625,49427.734375
5e-05,57,47621.40625,49848.51171875
5e-05,58,48454.296875,49044.4296875
5e-05,59,46823.8828125,50153.0234375
5e-05,60,46555.125,50516.1953125
5e-05,61,46039.828125,48285.1953125
5e-05,62,45649.140625,50427.1796875
5e-05,63,45534.6640625,49160.03515625
5e-05,64,44777.37890625,48373.1953125
5e-05,65,44751.796875,47711.67578125
5e-05,66,44750.28125,50170.41015625
5e-05,67,43695.39453125,47005.6171875
5e-05,68,43635.15625,46362.80078125
5e-05,69,43514.05859375,47098.86328125
5e-05,70,42684.1484375,47203.40625
5e-05,71,42566.29296875,46300.86328125
5e-05,72,43067.80078125,45885.0390625
5e-05,73,41555.609375,45097.20703125
5e-05,74,41086.59375,45962.66796875
5e-05,75,40551.1328125,47765.59765625
5e-05,76,40251.30859375,47235.12890625
5e-05,77,40275.5078125,46271.4375
5e-05,78,39878.5859375,44123.1484375
5e-05,79,39336.29296875,46807.4453125
5e-05,80,38950.140625,43625.44140625
5e-05,81,38491.4453125,43724.2578125
5e-05,82,38503.671875,43599.09375
5e-05,83,38266.6640625,45142.04296875
5e-05,84,37313.30859375,44201.890625
5e-05,85,36752.0390625,42174.75
5e-05,86,36889.9453125,42704.4609375
5e-05,87,36338.42578125,42221.16796875
5e-05,88,36016.6171875,42465.13671875
5e-05,89,36063.69140625,42291.96484375
5e-05,90,35022.69921875,43144.9140625
5e-05,91,35099.49609375,41423.6875
5e-05,92,34607.4765625,42478.296875
5e-05,93,34332.08203125,40878.09765625
5e-05,94,33433.59375,41980.32421875
5e-05,95,33574.1328125,44288.69140625
5e-05,96,33490.14453125,40161.546875
5e-05,97,33081.91015625,43388.7265625
5e-05,98,32369.212890625,40083.65625
5e-05,99,32965.91796875,39563.89453125
5e-05,100,31666.337890625,40076.52734375
0.0001,1,222157.359375,150427.453125
0.0001,2,145632.59375,123117.109375
0.0001,3,121576.203125,119669.21875
0.0001,4,108865.8828125,99381.5625
0.0001,5,99374.421875,90394.578125
0.0001,6,92354.2734375,85847.1796875
0.0001,7,86740.484375,85100.0703125
0.0001,8,82157.0078125,75478.4921875
0.0001,9,79505.0859375,74841.84375
0.0001,10,76449.9765625,69667.1796875
0.0001,11,73729.4921875,73252.8984375
0.0001,12,70994.921875,65612.9453125
0.0001,13,68743.34375,64319.34375
0.0001,14,67761.515625,62806.59765625
0.0001,15,64972.46875,61750.3984375
0.0001,16,63917.5859375,64987.49609375
0.0001,17,62041.953125,60354.1875
0.0001,18,61161.6640625,57935.35546875
0.0001,19,60074.12890625,60135.65625
0.0001,20,58664.6171875,65115.95703125
0.0001,21,57610.50390625,67684.140625
0.0001,22,56876.76171875,55137.83984375
0.0001,23,56215.203125,55333.05859375
0.0001,24,54788.71484375,54021.8984375
0.0001,25,54584.125,53538.046875
0.0001,26,54066.96484375,52750.25
0.0001,27,53438.61328125,62449.8203125
0.0001,28,53638.85546875,51830.62109375
0.0001,29,51690.5859375,54588.24609375
0.0001,30,52462.90625,51120.08203125
0.0001,31,51438.796875,50995.14453125
0.0001,32,50494.1484375,51006.16796875
0.0001,33,50540.671875,50655.953125
0.0001,34,50206.44140625,49911.57421875
0.0001,35,49479.41015625,50114.50390625
0.0001,36,48735.69921875,53236.09765625
0.0001,37,48609.1640625,49408.62109375
0.0001,38,47658.40234375,52916.42578125
0.0001,39,46743.1953125,48240.03125
0.0001,40,46840.35546875,47087.69921875
0.0001,41,45980.484375,47361.796875
0.0001,42,46422.5078125,47191.60546875
0.0001,43,44777.46484375,59526.51171875
0.0001,44,45089.6953125,48382.78125
0.0001,45,45025.97265625,46544.703125
0.0001,46,43818.96875,45844.74609375
0.0001,47,42496.609375,45794.50390625
0.0001,48,42355.78515625,48505.75390625
0.0001,49,41459.5546875,47403.46484375
0.0001,50,40558.62890625,44623.6171875
0.0001,51,40585.265625,48060.5546875
0.0001,52,39585.67578125,43584.15234375
0.0001,53,38406.28125,44480.1328125
0.0001,54,37343.79296875,41212.21875
0.0001,55,37317.703125,43906.42578125
0.0001,56,36431.234375,40018.96484375
0.0001,57,35801.28515625,41155.40625
0.0001,58,35379.63671875,40860.27734375
0.0001,59,34065.58984375,39479.4453125
0.0001,60,33743.20703125,39081.01171875
0.0001,61,32776.1875,42231.4765625
0.0001,62,32178.416015625,38307.41015625
0.0001,63,31761.3984375,37351.79296875
0.0001,64,29850.279296875,39185.21875
0.0001,65,29606.091796875,37788.19140625
0.0001,66,29121.66015625,41072.3203125
0.0001,67,28295.751953125,39793.55078125
0.0001,68,28382.6484375,39237.109375
0.0001,69,27023.240234375,35987.93359375
0.0001,70,26477.9296875,40869.65234375
0.0001,71,25613.83984375,33815.375
0.0001,72,25004.20703125,42559.08203125
0.0001,73,24727.81640625,39751.32421875
0.0001,74,24772.14453125,35414.53125
0.0001,75,23615.154296875,35236.171875
0.0001,76,23651.4765625,32267.923828125
0.0001,77,22353.578125,32741.42578125
0.0001,78,22543.654296875,35672.04296875
0.0001,79,21508.091796875,32976.0625
0.0001,80,20827.076171875,31711.4453125
0.0001,81,21191.341796875,34282.92578125
0.0001,82,20126.767578125,31512.62109375
0.0001,83,20029.330078125,30547.69140625
0.0001,84,18742.638671875,32757.921875
0.0001,85,18804.658203125,31935.955078125
0.0001,86,18362.935546875,33501.59765625
0.0001,87,18599.7578125,32543.931640625
0.0001,88,17678.87890625,30202.171875
0.0001,89,17587.755859375,29034.1171875
0.0001,90,18653.806640625,34073.96875
0.0001,91,17425.4609375,28821.583984375
0.0001,92,16567.806640625,28275.798828125
0.0001,93,16064.583984375,31984.0703125
0.0001,94,15152.8125,29486.548828125
0.0001,95,15785.087890625,28611.1953125
0.0001,96,15375.458984375,29404.341796875
0.0001,97,15240.197265625,34374.5546875
0.0001,98,14590.1064453125,28027.54296875
0.0001,99,14000.43359375,28050.697265625
0.0001,100,13811.259765625,28962.74609375
0.0005,1,163793.296875,110520.8671875
0.0005,2,102924.328125,83965.671875
0.0005,3,81711.7109375,64929.53125
0.0005,4,67139.28125,57782.77734375
0.0005,5,61101.32421875,56895.7265625
0.0005,6,55864.3359375,52310.5078125
0.0005,7,51437.4140625,48154.16015625
0.0005,8,48317.47265625,44105.01953125
0.0005,9,42041.890625,39334.3984375
0.0005,10,38248.08984375,36848.04296875
0.0005,11,34833.046875,32302.77734375
0.0005,12,29431.6640625,31349.19140625
0.0005,13,27111.05859375,29247.142578125
0.0005,14,24202.48046875,31517.064453125
0.0005,15,22114.705078125,26193.337890625
0.0005,16,21073.048828125,30543.5078125
0.0005,17,20147.25,23558.421875
0.0005,18,18303.16015625,22732.111328125
0.0005,19,18016.146484375,20555.7890625
0.0005,20,15681.154296875,19785.078125
0.0005,21,15003.1748046875,20773.892578125
0.0005,22,14730.2626953125,20395.666015625
0.0005,23,13065.033203125,17109.201171875
0.0005,24,12655.466796875,19029.189453125
0.0005,25,11682.9619140625,19143.423828125
0.0005,26,11374.4794921875,16486.16796875
0.0005,27,10242.2529296875,17340.580078125
0.0005,28,10891.6181640625,15823.41796875
0.0005,29,9988.4365234375,18823.109375
0.0005,30,9757.7041015625,17357.5234375
0.0005,31,9503.6416015625,16604.978515625
0.0005,32,9338.794921875,18255.95703125
0.0005,33,8639.76171875,13135.935546875
0.0005,34,8014.396484375,13843.2490234375
0.0005,35,7280.033203125,13360.0087890625
0.0005,36,7773.3232421875,15248.2392578125
0.0005,37,7306.779296875,13409.779296875
0.0005,38,6864.45849609375,12593.90234375
0.0005,39,6956.1220703125,11887.041015625
0.0005,40,6491.349609375,12997.638671875
0.0005,41,6341.25732421875,14785.681640625
0.0005,42,6540.76171875,13531.1796875
0.0005,43,6211.810546875,13838.3955078125
0.0005,44,6046.68408203125,12006.7939453125
0.0005,45,5126.9189453125,10626.025390625
0.0005,46,5441.75927734375,11796.0283203125
0.0005,47,5231.00927734375,13970.087890625
0.0005,48,5869.26025390625,12406.8046875
0.0005,49,5481.57666015625,13504.3623046875
0.0005,50,6133.8916015625,12023.89453125
0.0005,51,4973.0361328125,11152.326171875
0.0005,52,5162.20068359375,10998.9111328125
0.0005,53,4795.54833984375,12469.1220703125
0.0005,54,4579.46875,12132.806640625
0.0005,55,4592.95458984375,10520.49609375
0.0005,56,4334.64111328125,12107.7724609375
0.0005,57,4632.39990234375,11282.2216796875
0.0005,58,3908.468505859375,10318.146484375
0.0005,59,4142.865234375,12276.5009765625
0.0005,60,4129.87451171875,9861.02734375
0.0005,61,4556.15771484375,9894.6748046875
0.0005,62,3359.851806640625,9166.6083984375
0.0005,63,3707.372802734375,11502.986328125
0.0005,64,4399.4560546875,10012.4306640625
0.0005,65,3010.53662109375,9088.4169921875
0.0005,66,3780.3193359375,9905.2021484375
0.0005,67,4828.19580078125,9881.26171875
0.0005,68,3280.913818359375,8684.9541015625
0.0005,69,3001.401123046875,9910.84765625
0.0005,70,3212.14990234375,9428.08984375
0.0005,71,3609.686279296875,9375.7001953125
0.0005,72,3278.3369140625,9594.5654296875
0.0005,73,2849.43359375,9330.1787109375
0.0005,74,4328.34130859375,10665.33203125
0.0005,75,2656.18017578125,9282.9423828125
